Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %
21:41:36,154,57.20,25.40,754,153

21:41:37,153,57.20,25.40,754,153

21:41:38,153,57.10,25.40,754,153

21:41:39,153,57.10,25.40,755,153

21:41:40,153,57.30,25.40,755,153

21:41:41,150,57.30,25.40,755,154

21:41:42,150,57.60,25.40,755,154

21:41:43,150,57.60,25.40,755,154

21:41:44,150,57.70,25.40,755,154

21:41:45,151,57.70,25.40,754,154

21:41:46,151,57.70,25.40,754,154

21:41:47,151,57.70,25.40,755,154

21:41:48,151,57.70,25.40,755,154

21:41:49,151,57.70,25.40,755,154

21:41:50,151,57.60,25.40,755,154

21:41:51,151,57.60,25.40,756,154

21:41:52,151,57.40,25.40,756,154

21:41:53,151,57.40,25.40,756,154

21:41:54,151,57.30,25.40,756,154

21:41:55,151,57.30,25.40,756,154

21:41:56,151,57.30,25.40,756,154

21:41:57,157,57.30,25.40,756,153

21:41:59,157,57.30,25.40,756,153

21:42:0,155,57.30,25.40,756,153

21:42:1,155,57.30,25.40,756,153

21:42:2,155,57.30,25.40,756,153

21:42:3,154,57.30,25.40,756,153

21:42:4,154,57.30,25.40,756,153

21:42:5,154,57.30,25.40,756,153

21:42:6,154,57.30,25.40,757,153

21:42:7,154,57.30,25.40,757,153

21:42:8,154,57.30,25.40,757,153

21:42:9,154,57.30,25.40,757,153

21:42:10,153,57.30,25.40,757,153

21:42:11,154,57.20,25.40,757,153

21:42:12,153,57.20,25.40,757,153

21:42:13,153,57.00,25.40,757,153

21:42:14,151,57.00,25.40,757,154

21:42:15,150,56.80,25.40,758,154

21:42:16,150,56.80,25.40,758,154

21:42:17,150,56.70,25.40,758,154

21:42:18,150,56.70,25.40,758,154

21:42:19,151,56.60,25.40,758,154

21:42:20,151,56.60,25.40,758,154

21:42:21,151,56.50,25.40,758,154

21:42:22,151,56.50,25.40,758,154

21:42:23,151,56.60,25.40,758,154

21:42:24,151,56.60,25.40,758,154

21:42:25,151,56.70,25.40,758,154

21:42:26,151,56.70,25.40,758,154

21:42:27,152,56.80,25.40,758,154

21:42:28,152,56.80,25.40,758,154

21:42:29,152,56.90,25.40,758,154

21:42:30,157,56.90,25.40,760,152

21:42:31,157,56.90,25.40,760,153

21:42:32,156,56.90,25.40,760,153

21:42:34,155,56.90,25.40,760,153

21:42:35,155,56.90,25.40,760,153

