Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %
21:22:28,153,59.60,25.40,772,153

21:22:29,153,59.60,25.40,772,154

21:22:30,153,59.50,25.50,772,153

21:22:31,152,59.50,25.50,772,154

21:22:32,153,59.50,25.50,772,154

21:22:33,152,59.50,25.50,772,154

21:22:34,152,59.50,25.50,772,154

21:22:35,153,59.50,25.50,772,154

21:22:36,152,59.40,25.50,773,154

21:22:37,152,59.40,25.50,773,153

21:22:38,151,59.20,25.50,773,154

21:22:39,151,59.20,25.50,773,155

21:22:40,150,59.00,25.50,773,155

21:22:41,149,59.00,25.50,773,155

21:22:42,148,58.90,25.50,773,155

21:22:43,149,58.90,25.50,773,155

21:22:44,149,58.80,25.50,773,155

21:22:45,149,58.80,25.50,773,155

21:22:46,149,58.70,25.50,773,155

21:22:47,149,58.70,25.50,773,155

21:22:48,150,58.60,25.50,773,155

21:22:49,149,58.60,25.50,773,155

21:22:50,150,58.60,25.50,773,155

21:22:51,149,58.60,25.50,773,155

21:22:52,150,58.60,25.50,773,155

21:22:53,150,58.60,25.50,773,155

21:22:54,150,58.50,25.40,773,155

21:22:55,150,58.50,25.40,773,153

21:22:57,154,58.60,25.50,773,153

21:22:58,154,58.60,25.50,773,154

21:22:59,153,58.60,25.50,773,154

21:23:0,152,58.60,25.50,773,154

21:23:1,153,58.70,25.50,773,154

21:23:2,152,58.70,25.50,774,154

21:23:3,152,58.70,25.50,774,154

21:23:4,152,58.70,25.50,774,154

21:23:5,152,58.70,25.50,774,154

21:23:6,152,58.70,25.50,774,154

21:23:7,152,58.70,25.50,774,154

21:23:8,152,58.70,25.50,774,154

21:23:9,151,58.70,25.50,774,154

21:23:10,151,58.70,25.50,774,154

21:23:11,151,58.70,25.50,774,154

21:23:12,151,58.70,25.50,774,155

21:23:13,149,58.70,25.50,774,155

21:23:14,149,58.70,25.50,774,155

21:23:15,148,58.80,25.50,774,155

21:23:16,149,58.80,25.50,774,155

21:23:17,149,58.90,25.40,774,155

21:23:18,149,58.90,25.40,774,155

21:23:19,148,59.10,25.40,774,155

21:23:20,149,59.10,25.40,774,155

21:23:21,149,59.40,25.50,774,155

21:23:22,149,59.40,25.50,774,155

21:23:23,149,59.60,25.40,774,155

21:23:24,150,59.60,25.40,774,155

21:23:25,150,59.90,25.50,774,155

21:23:26,150,59.90,25.50,774,155

21:23:27,150,60.00,25.50,774,155

21:23:28,150,60.00,25.50,774,153

21:23:29,153,60.10,25.50,774,154

21:23:30,154,60.10,25.50,774,154

21:23:32,153,60.10,25.50,774,153

21:23:33,153,60.10,25.50,774,154

21:23:34,153,60.10,25.50,774,154

21:23:35,152,60.10,25.50,774,154

21:23:36,152,60.10,25.50,774,154

21:23:37,152,60.10,25.50,774,154

21:23:38,152,60.00,25.40,774,154

21:23:39,152,60.00,25.40,774,154

21:23:40,152,60.10,25.50,774,154

21:23:41,152,60.10,25.50,774,154

21:23:42,152,60.00,25.50,774,154

21:23:43,152,60.00,25.50,774,154

21:23:44,152,59.90,25.50,774,154

21:23:45,151,59.90,25.50,774,155

21:23:46,149,59.60,25.50,774,155

21:23:47,149,59.60,25.50,774,155

21:23:48,148,59.20,25.50,774,155

21:23:49,149,59.20,25.50,774,155

21:23:50,149,58.70,25.40,774,155

21:23:51,149,58.70,25.40,774,155

21:23:52,149,58.50,25.50,774,155

21:23:53,149,58.50,25.50,774,155

21:23:54,150,58.30,25.40,774,155

21:23:55,149,58.30,25.40,774,155

21:23:56,150,58.50,25.50,775,155

21:23:57,150,58.50,25.50,775,155

21:23:58,150,58.70,25.40,775,155

21:23:59,150,58.70,25.40,775,155

21:24:0,150,59.00,25.40,775,155

21:24:1,150,59.00,25.40,775,153

21:24:2,153,59.30,25.50,775,153

21:24:3,154,59.30,25.50,775,153

21:24:4,153,59.40,25.40,775,153

21:24:5,153,59.40,25.40,776,154

21:24:7,153,59.60,25.50,776,153

21:24:8,152,59.60,25.50,776,154

21:24:9,152,59.70,25.50,776,154

21:24:10,153,59.70,25.50,776,153

21:24:11,152,59.80,25.50,776,153

21:24:12,152,59.80,25.50,776,154

21:24:13,152,59.90,25.50,776,154

21:24:14,152,59.90,25.50,776,154

21:24:15,152,59.90,25.40,776,154

21:24:16,152,59.90,25.40,777,154

21:24:17,152,60.00,25.50,777,153

21:24:18,152,60.00,25.50,777,155

21:24:19,149,59.90,25.50,777,155

21:24:20,149,59.90,25.50,777,155

21:24:21,149,59.80,25.40,777,155

21:24:22,149,59.80,25.40,777,155

21:24:23,149,59.80,25.50,778,155

21:24:24,149,59.80,25.50,778,155

21:24:25,149,59.60,25.40,778,155

21:24:26,150,59.60,25.40,778,155

21:24:27,150,59.50,25.50,779,155

21:24:28,150,59.50,25.50,779,155

21:24:29,150,59.40,25.50,779,155

21:24:30,150,59.40,25.50,779,155

21:24:31,150,59.20,25.50,780,155

21:24:32,150,59.20,25.50,780,155

21:24:33,150,59.00,25.50,780,155

21:24:34,150,59.00,25.50,782,153

21:24:35,154,58.80,25.50,782,153

21:24:36,154,58.80,25.50,782,153

21:24:37,154,58.60,25.40,782,153

21:24:38,153,58.60,25.40,783,154

21:24:39,153,58.60,25.50,783,154

21:24:40,153,58.60,25.50,783,154

21:24:42,153,58.60,25.40,784,154

21:24:43,153,58.60,25.40,784,154

21:24:44,152,58.70,25.50,784,154

21:24:45,153,58.70,25.50,784,154

21:24:46,152,58.70,25.50,784,154

21:24:47,152,58.70,25.50,785,154

21:24:48,152,58.80,25.50,785,154

21:24:49,152,58.80,25.50,785,154

21:24:50,152,58.80,25.50,785,154

21:24:51,151,58.80,25.50,785,155

21:24:52,149,58.90,25.50,785,155

21:24:53,149,58.90,25.50,786,155

21:24:54,148,58.90,25.40,786,155

21:24:55,149,58.90,25.40,786,155

21:24:56,149,59.00,25.50,786,155

21:24:57,149,59.00,25.50,787,155

21:24:58,149,59.00,25.50,787,155

21:24:59,149,59.00,25.50,787,155

21:25:0,149,59.00,25.50,787,155

21:25:1,149,59.00,25.50,787,155

21:25:2,149,58.90,25.40,788,155

21:25:3,149,58.90,25.40,788,155

21:25:4,149,58.80,25.50,788,155

21:25:5,149,58.80,25.50,788,155

21:25:6,149,58.70,25.50,788,155

21:25:7,150,58.70,25.50,789,153

21:25:8,153,58.60,25.50,789,153

21:25:9,154,58.60,25.50,789,153

21:25:10,153,58.50,25.50,789,154

21:25:11,153,58.50,25.50,789,154

21:25:12,152,58.30,25.40,789,154

21:25:13,153,58.30,25.40,789,154

21:25:14,152,58.20,25.40,789,154

21:25:15,152,58.20,25.40,789,154

21:25:17,152,58.20,25.50,789,154

21:25:18,152,58.20,25.50,790,154

21:25:19,152,58.20,25.50,790,154

21:25:20,152,58.20,25.50,790,154

21:25:21,152,58.20,25.50,790,154

21:25:22,151,58.20,25.50,790,154

21:25:23,152,58.40,25.50,790,154

21:25:24,149,58.40,25.50,790,155

21:25:25,148,58.60,25.50,790,155

21:25:26,148,58.60,25.50,790,155

21:25:27,148,58.60,25.40,790,155

21:25:28,149,58.60,25.40,790,155

21:25:29,148,58.80,25.50,790,155

21:25:30,149,58.80,25.50,790,155

21:25:31,149,58.80,25.50,790,155

21:25:32,149,58.80,25.50,790,155

21:25:33,149,58.80,25.50,792,155

21:25:34,150,58.80,25.50,792,155

21:25:35,150,58.80,25.50,792,155

21:25:36,150,58.80,25.50,792,155

21:25:37,150,58.70,25.50,792,155

21:25:38,150,58.70,25.50,792,155

21:25:39,150,58.80,25.50,792,155

21:25:40,150,58.80,25.50,792,153

21:25:41,154,58.80,25.50,792,154

21:25:42,154,58.80,25.50,792,154

21:25:43,154,58.90,25.50,792,154

21:25:44,153,58.90,25.50,792,154

21:25:45,152,59.00,25.40,792,154

21:25:46,153,59.00,25.40,791,154

21:25:47,152,59.10,25.50,792,154

21:25:48,152,59.10,25.50,792,154

21:25:49,152,59.20,25.50,792,154

21:25:50,152,59.20,25.50,792,154

21:25:52,152,59.20,25.50,792,154

21:25:53,152,59.20,25.50,792,154

21:25:54,152,59.30,25.50,792,154

21:25:55,152,59.30,25.50,790,154

21:25:56,151,59.30,25.50,790,154

21:25:57,149,59.30,25.50,791,155

21:25:58,149,59.40,25.50,791,155

21:25:59,148,59.40,25.50,791,155

21:26:0,149,59.50,25.50,791,155

21:26:1,149,59.50,25.50,792,155

21:26:2,148,59.50,25.50,792,155

21:26:3,149,59.50,25.50,790,155

21:26:4,149,59.60,25.50,790,155

21:26:5,149,59.60,25.50,790,155

21:26:6,149,59.60,25.50,790,155

21:26:7,149,59.60,25.50,790,155

21:26:8,150,59.50,25.50,790,155

21:26:9,150,59.50,25.50,790,155

21:26:10,150,59.30,25.50,789,155

21:26:11,150,59.30,25.50,789,155

21:26:12,150,59.00,25.50,789,155

21:26:13,150,59.00,25.50,789,153

21:26:14,153,58.70,25.50,789,153

21:26:15,154,58.70,25.50,789,154

21:26:16,154,58.40,25.50,789,154

21:26:17,153,58.40,25.50,788,154

21:26:18,153,58.10,25.50,788,154

21:26:19,152,58.10,25.50,788,154

21:26:20,152,57.80,25.50,788,154

21:26:21,152,57.80,25.50,788,154

21:26:22,152,57.60,25.50,788,154

21:26:23,152,57.60,25.50,788,154

21:26:24,152,57.40,25.50,788,154

21:26:25,151,57.40,25.50,787,154

21:26:27,152,57.20,25.50,787,154

21:26:28,152,57.20,25.50,787,154

21:26:29,152,57.10,25.50,787,154

21:26:30,152,57.10,25.50,787,155

21:26:31,150,57.00,25.50,787,155

21:26:32,148,57.00,25.50,787,155

21:26:33,149,56.90,25.50,787,155

21:26:34,149,56.90,25.50,787,155

21:26:35,149,56.80,25.50,787,155

21:26:36,149,56.80,25.50,787,155

21:26:37,149,56.80,25.50,786,155

21:26:38,149,56.80,25.50,786,155

21:26:39,149,56.70,25.50,786,155

21:26:40,150,56.70,25.50,786,155

21:26:41,149,56.60,25.40,786,155

21:26:42,150,56.60,25.40,785,155

21:26:43,150,56.60,25.50,785,155

21:26:44,150,56.60,25.50,785,155

21:26:45,150,56.60,25.50,786,155

21:26:46,150,56.60,25.50,784,154

21:26:47,153,56.60,25.50,784,154

21:26:48,154,56.60,25.50,784,154

21:26:49,154,56.50,25.50,784,154

21:26:50,153,56.50,25.50,784,154

21:26:51,153,56.50,25.50,784,154

21:26:52,153,56.50,25.50,784,154

21:26:53,152,56.50,25.50,784,154

21:26:54,152,56.50,25.50,784,154

21:26:55,152,56.50,25.50,785,154

21:26:56,152,56.50,25.50,785,154

21:26:57,152,56.50,25.50,785,154

21:26:58,152,56.50,25.50,785,154

21:26:59,152,56.40,25.40,785,154

21:27:1,151,56.40,25.40,785,154

21:27:2,151,56.40,25.40,785,154

21:27:3,153,56.40,25.40,785,155

21:27:4,148,56.40,25.50,785,155

21:27:5,148,56.40,25.50,785,155

21:27:6,148,56.40,25.50,785,155

21:27:7,148,56.40,25.50,785,155

21:27:8,148,56.40,25.50,785,155

21:27:9,148,56.40,25.50,785,155

21:27:10,149,56.40,25.50,785,155

21:27:11,149,56.40,25.50,785,155

21:27:12,149,56.40,25.50,785,155

21:27:13,149,56.40,25.50,785,155

21:27:14,149,56.40,25.50,785,155

21:27:15,150,56.40,25.50,785,155

